Length,Diameter,Height,Age,Shucked_Weight_Ratio
1.4375,1.175,0.4125,9,0.500575374
0.8875,0.65,0.2125,6,0.42519685
1.0375,0.775,0.25,6,0.406417112
1.175,0.8875,0.25,10,0.352260778
0.8875,0.6625,0.2125,6,0.501026694
1.55,1.1625,0.35,8,0.473788328
1.3,1,0.325,15,0.34427542
1.325,1.0125,0.375,10,0.423331329
1.5875,1.25,0.4125,13,0.480188046
0.9125,0.6875,0.3375,7,0.45
0.825,0.5375,0.1875,6,0.3930131
1.3625,1.05,0.4375,10,0.339522546
0.8625,0.6375,0.225,9,0.46882793
1.375,1.075,0.3625,10,0.424859551
1.225,0.95,0.3,11,0.40926276
1.6375,1.2875,0.5,12,0.485609103
1.6,1.3125,0.45,10,0.370384469
1.0625,0.775,0.225,7,0.46013289
1.475,1.1,0.375,11,0.383045526
0.7625,0.575,0.1875,6,0.408934708
1.1125,0.8,0.3,7,0.480676329
1.625,1.3125,0.475,11,0.640794224
0.925,0.6875,0.2375,6,0.394941634
0.575,0.4375,0.1625,5,0.403100775
1.2625,0.975,0.325,9,0.46958457
1.2625,1,0.3875,12,0.322638146
1.3375,1.075,0.35,8,0.398464759
1.525,1.2125,0.4375,12,0.437123343
1.575,1.2875,0.4,11,0.413922156
1.0875,0.8125,0.3,8,0.454317897
1.0625,0.875,0.2625,9,0.330788804
1.25,0.95,0.3375,8,0.427625355
1.2625,0.975,0.4625,7,0.435918367
1.4875,1.1875,0.425,20,0.384923817
1.55,1.225,0.475,13,0.447865353
1.4,1.0375,0.325,8,0.485226527
1.1125,0.8625,0.2625,7,0.409535452
1.0125,0.775,0.3,13,0.445880452
0.75,0.575,0.2,8,0.341176471
1.05,0.825,0.25,9,0.464488636
1.4375,1.125,0.3375,10,0.44795539
0.8,0.5125,0.2,5,0.486187845
1.7,1.4,0.4875,11,0.484388186
1.5125,1.1875,0.4375,10,0.449208993
1.0375,0.775,0.2375,8,0.361736334
1.725,1.35,0.4625,15,0.441298123
1.25,1.025,0.375,11,0.425226586
1.725,1.45,0.4875,10,0.427020507
1.375,1.175,0.375,9,0.420289855
1.525,1.175,0.3875,9,0.481355932
1.1375,0.875,0.275,8,0.436681223
1.8,1.3625,0.4875,11,0.470100143
1.375,1.1,0.4125,17,0.362579895
1.3125,1.025,0.3375,11,0.413549753
1.175,0.8875,0.2875,7,0.401925391
1.775,1.4125,0.4875,17,0.369533739
1.4375,1.1625,0.35,9,0.461377871
0.6875,0.5,0.1375,4,0.410810811
1.325,0.95,0.3125,8,0.474025974
1.2625,0.9375,0.45,12,0.409330986
1.0625,0.95,0.2625,10,0.393568147
1.075,0.825,0.25,6,0.565701559
0.825,0.65,0.2,7,0.402631579
